,reviews,ratings,date
0,"There's an undeniable magic to Disneyland. I mean, they literally infuse the smell of homemade cookies on Main Street. There's an atmosphere and vibe that is difficult to replicate anywhere else, especially if you are a fan of Disney's entertainment.Some personalities may not enjoy the long-line waiting, buying tons of merchandise, and the exorbitant prices of tickets (or food inside the park). Price is a huge thing. Is it worth it? That will be up to the individual to decide. I think if you are going with children aged 6-12 it could be incredibly ""magical"" to watch them experience Disneyland, enjoy the rides, meet some of their favorite characters, etc. If you are going with only other adults, it may be best to make sure that everybody is a fan of Disney - because otherwise it may provide a lackluster experience and it may be better to go to a roller-coaster focused theme park. If you are going with extended family, hope to the universe that whoever is getting fast-passes for you gets it for a ride you like because you likely don't have much of a say in anything.Overall, you are going to get your money's worth and have an enjoyable time, for sure. This is Disney's biggest money maker. It brings in more money (the theme parks in general) than basically any other portion of their business, and they own a ton. If you want to go and can afford it, it's worth experiencing at least once in your life - possibly more if you fall in love with it.",4/5,9 months ago on  Google
1,"We went for one day and tickets cost $164 each. Parking was $30, in which we also purchased ahead of time. Definitely plan ahead. We purchased a week and a half before our trip and although it wasn't the day we originally planned, everything worked out. My teens first Disneyland visit and they had fun. The only downside was waiting in line for the rides. Definitely get the Genie Service,  it's only $20 per ticket, which I somehow mistaken the price. We arrived by 9am and waited for parking for about 15 minutes. Then walked towards the tram and did the security clearance [bag check, metal detector]. The tram was quick and they had multiple going at a time, back and forth, so the wait was less than 10 minutes. We were on the Disneyland Park side, so we walked and enjoyed the day there [was there for about 9 hours]. We didn't stay for the parade or fireworks. By the end of the day, the sun was too much. After being there all day, we realized it's better to go just before the sun sets, less sun exposure, shorter lines. Merchandise and food was definitely pricey. We will be back but for California's Adventure.",5/5,3 months ago on  Google
2,Fantastic! Still the great Disneyland that I remember since I was a kid. Great rides and attractions plus the crowd control seems to be a little better (didn’t feel like I had to wait hours for rides). The app was helpful though could definitely be improved. And I do recommend getting genie+ if you wanna get on rides without the wait (definitely worth it.,5/5,a week ago on  Google
3,"What a beautiful place to have fun.If you go on a weekday, you will still be able to take a lot of good photos. If you go on weekends there will be more fun activities.In terms of buying tickets, you should buy tickets in advance to enjoy special offers or promotions or dresses for children and the elderly.Public transportation is also very convenient, you just need to search on Google map or ask anyone to go here very easily. We had genie but still we had to wait for long time and at some point we weren’t able to make reservation. If you on a busy day Genie not make any help. In all great experience",5/5,4 months ago on  Google
4,"This was an amazing experience that we enjoyed in the rain and cold weather, we got the genie app and lightning lanes which helped out immensely. With the app we were able to see real time waits for ride lines couple days before, and schedule accordingly on the days that we were there. You can also search anything, like restrooms and restaurants. We were able to book walk up appointments for some of the restaurants and also mobile order food and coffee at some locations. This was very convenient while managing our time between meals attractions or  shows........",5/5,11 months ago on  Google
5,"Amazing experience every time we go. The new Star Wars was better than expected. It felt so real! There’s always a crowd but well worth it! Loved the Star Wars Rise of the Resistance ride, it really felt like entering the Empire’s ship. The smugglers run was also enjoyable. The park was clean and well maintained. Using the app made planning the day easier. We also used the water refill stations throughout the park. Mobile ordering was easy and faster than standing in the line. Overall awesome experience and of course we will be back!",5/5,a year ago on  Google
6,"I can see why so many people find this place to be the happiest place on earth. It is way better than Disney World. Come at me bro! The late January visit with two kids was beyond magical. The experience as an adult was way more pleasant than I thought it would be. Please do prep before hand with the app. In fact do everything on the app and save any grief. Genie plus was worth it during the busy days, but if you are lucky to miss the crowds you can have a great time without it. I didn’t think I would say this but I will be back in a couple of years. I need to save a small fortune again to visit.",5/5,10 months ago on  Google
7,Had a fantastic time here. The Star Wars exhibit is phenomenal and walking around the rest of the park is a visual treat as well. The attention to detail is amazing. The amount of staff they have working to keep the customer experience pleasant is overwhelming. Highly recommend this as a staycation for us living in Southern California.,5/5,7 months ago on  Google
8,I love Disney! I know this is suppose to be a kids place but one must admit it is truly the happiest place on earth. I have been to Disney several times yet each time seems like the first. My daughters love all the parks but the Incredible ride is the winner! We must have gotten on at a minimal of 10x and it was not enough. Disney is nicely decorated and there is so much to see that the lines don't even bother you. With the California weather in the 70s it was another perfect visit. (Visited July 2021),5/5,a year ago on  Google
9,"We went to Disneyland on a Thursday, which was still busy, but I definitely think better than going on the weekend. We only went to the main park as well because the other park (Adventure Park) was all sold out. Overall, the park was really fun, especially for adults. I never felt bad on any of the rides. They were all smooth, never rough like going to another amusement park. Additionally, they have some interactive rides like those from the Star Wars Section. However, I definitely recommend going more than one day so you can do everything and even visit the other park. Overall, I really enjoyed my time at Disneyland and it’s truly a place for all ages. Additionally, the firework show was amazing!",5/5,3 months ago on  Google
